buy_rise_pct,sell_drop_pct,final_value,return_pct,trades,buys,sells
6.5,12.0,1106.473637,10.647364,3,2,1
7.0,12.0,1106.473637,10.647364,3,2,1
7.5,12.0,1106.473637,10.647364,3,2,1
8.0,12.0,1106.473637,10.647364,3,2,1
5.5,12.5,1106.473637,10.647364,3,2,1
6.0,12.5,1106.473637,10.647364,3,2,1
6.5,12.5,1106.473637,10.647364,3,2,1
7.0,12.5,1106.473637,10.647364,3,2,1
7.5,12.5,1106.473637,10.647364,3,2,1
8.0,12.5,1106.473637,10.647364,3,2,1
5.5,13.0,1106.473637,10.647364,3,2,1
6.0,13.0,1106.473637,10.647364,3,2,1
6.5,13.0,1106.473637,10.647364,3,2,1
7.0,13.0,1106.473637,10.647364,3,2,1
7.5,13.0,1106.473637,10.647364,3,2,1
8.0,13.0,1106.473637,10.647364,3,2,1
5.5,13.5,1106.473637,10.647364,3,2,1
6.0,13.5,1106.473637,10.647364,3,2,1
6.5,13.5,1106.473637,10.647364,3,2,1
7.0,13.5,1106.473637,10.647364,3,2,1
7.5,13.5,1106.473637,10.647364,3,2,1
8.0,13.5,1106.473637,10.647364,3,2,1
16.5,6.5,1106.25669,10.625669,3,2,1
16.0,7.0,1105.430325,10.543032,3,2,1
17.0,6.5,1105.031702,10.50317,3,2,1
8.0,7.0,1104.918909,10.491891,5,3,2
13.0,8.0,1104.589304,10.45893,3,2,1
13.5,8.0,1104.589304,10.45893,3,2,1
14.0,8.0,1104.589304,10.45893,3,2,1
14.5,8.0,1104.589304,10.45893,3,2,1
15.0,8.0,1104.589304,10.45893,3,2,1
6.5,4.0,1104.579364,10.457936,8,4,4
1.5,18.5,1104.499705,10.449971,3,2,1
2.0,18.5,1104.499705,10.449971,3,2,1
9.0,4.5,1104.469943,10.446994,5,3,2
9.0,5.0,1104.469943,10.446994,5,3,2
9.0,5.5,1104.469943,10.446994,5,3,2
17.5,6.0,1104.412468,10.441247,3,2,1
18.0,4.5,1104.281483,10.428148,3,2,1
18.0,5.0,1104.281483,10.428148,3,2,1
18.0,5.5,1104.281483,10.428148,3,2,1
4.0,6.0,1103.400421,10.340042,7,4,3
4.5,6.0,1103.400421,10.340042,7,4,3
16.0,7.5,1102.843509,10.284351,3,2,1
7.5,7.5,1102.117472,10.211747,5,3,2
2.5,5.0,1102.114631,10.211463,9,5,4
2.5,5.5,1102.114631,10.211463,9,5,4
17.5,6.5,1100.887124,10.088712,3,2,1
5.0,6.0,1100.864544,10.086454,7,4,3
1.0,19.0,1100.850132,10.085013,3,2,1
1.0,19.5,1100.850132,10.085013,3,2,1
18.5,4.0,1100.581916,10.058192,4,2,2
5.5,8.0,1100.56983,10.056983,5,3,2
6.0,8.0,1100.56983,10.056983,5,3,2
6.5,8.0,1100.56983,10.056983,5,3,2
12.0,10.0,1100.205278,10.020528,3,2,1
12.5,10.0,1100.205278,10.020528,3,2,1
9.0,6.0,1100.110663,10.011066,5,3,2
15.5,8.0,1100.002398,10.00024,3,2,1
18.0,6.0,1099.922947,9.992295,3,2,1
3.0,7.0,1099.457195,9.945719,7,4,3
1.5,10.0,1099.161945,9.916195,5,3,2
13.0,8.5,1098.503711,9.850371,3,2,1
13.5,8.5,1098.503711,9.850371,3,2,1
14.0,8.5,1098.503711,9.850371,3,2,1
14.5,8.5,1098.503711,9.850371,3,2,1
15.0,8.5,1098.503711,9.850371,3,2,1
18.5,4.5,1098.48852,9.848852,3,2,1
18.5,5.0,1098.48852,9.848852,3,2,1
18.5,5.5,1098.48852,9.848852,3,2,1
3.5,7.0,1097.630648,9.763065,7,4,3
7.0,4.0,1097.359953,9.735995,8,4,4
8.0,7.5,1097.248954,9.724895,5,3,2
5.5,14.0,1097.092277,9.709228,3,2,1
6.0,14.0,1097.092277,9.709228,3,2,1
6.5,14.0,1097.092277,9.709228,3,2,1
7.0,14.0,1097.092277,9.709228,3,2,1
7.5,14.0,1097.092277,9.709228,3,2,1
8.0,14.0,1097.092277,9.709228,3,2,1
9.0,6.5,1096.59905,9.659905,5,3,2
18.0,6.5,1096.411934,9.641193,3,2,1
4.0,6.5,1096.338947,9.633895,7,4,3
4.5,6.5,1096.338947,9.633895,7,4,3
19.0,4.0,1096.26881,9.626881,4,2,2
16.5,7.0,1096.239831,9.623983,3,2,1
7.0,8.0,1096.195217,9.619522,5,3,2
8.5,10.5,1095.960836,9.596084,3,2,1
9.0,10.5,1095.960836,9.596084,3,2,1
8.5,11.0,1095.960836,9.596084,3,2,1
9.0,11.0,1095.960836,9.596084,3,2,1
8.5,11.5,1095.960836,9.596084,3,2,1
9.0,11.5,1095.960836,9.596084,3,2,1
8.5,12.0,1095.960836,9.596084,3,2,1
9.0,12.0,1095.960836,9.596084,3,2,1
8.5,12.5,1095.960836,9.596084,3,2,1
9.0,12.5,1095.960836,9.596084,3,2,1
8.5,13.0,1095.960836,9.596084,3,2,1
